ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0000898432-25-000393	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c, 3C, 3C.7	false			true	true					true					false		100000		Indefinite	0	Indefinite		false		0	0		0			0	true	The Investment Adviser will receive a management fee as more fully set forth in the offering materials.	false
0002069699-25-000006	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	true	0002024179-24-000004	1996-01-11		true					true					false		50000		Indefinite	7427336	Indefinite		false		62	0		0			0	true		false
0002070717-25-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2025-02-26		false					true					false		0		150000000	48200000	101800000		false		50	0		0			480000		The Manager is entitled to a management fee and an acquisition fee for its investment management services in accordance with the organizational documents of the Issuer. The amount noted above is the acquisition fee if all committed capital is called.	false
0002070802-25-000001	Commercial			Decline to Disclose		06b	false			true	false	true									false		1000		7500000	0	7500000		false		0	0		0			640000	true	Reimbursement of Woodside Health Kissimmee, LLC, owned by Related Persons (RPs) or of RPs directly for mtg. applic. fees, real estate comm'n, escrow, diligence, travel & misc out of pocket expenses, and legal fees to Sonkin & Koberna, LLC (employs an RP)	false
0001967781-25-000002	Business Services			$1 - $1,000,000		06b	false		2025-05-02		false	true	true	true	true						false		10000		4000000	60000	3940000		true	0	2	0		0			360000	true	Technology Platform Development Sales and Marketing Customer Success Operations Overhead	false
0002058831-25-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2025-05-15		true					true					false		250000		Indefinite	146500000	Indefinite		false		6	0		0			0			false
0001672828-25-000001	Pooled Investment Fund	Hedge Fund	false		Over $100,000,000	06b, 3C, 3C.7	true	0001672828-24-000001	2015-11-01		true					true					false		100000		Indefinite	133020216	Indefinite		false		62	35369		0			0			false
0001042239-25-000001	Pooled Investment Fund	Hedge Fund	false		Over $100,000,000	06b, 3C, 3C.1	true	0001042239-24-000001	1997-07-01		true					true					false		25000		Indefinite	81436067	Indefinite		true	1	137	33995	true	0			0			false
0002058833-25-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2025-05-15		true					true					false		25000		Indefinite	171320000	Indefinite		false		129	0		0			0			false
0000950142-25-001493	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-24-001533	2019-01-30		true	true				true					false		1		Indefinite	944859587	Indefinite		false		36	0		0			0			false
0000905148-25-001940	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2025-05-15		true					true					false		250000		Indefinite	327500000	Indefinite		false		6	0		0			0			false
0000950142-25-001492	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-24-001534	2019-02-26		true	true				true					false		1		Indefinite	598310426	Indefinite		false		45	0		0			0			false
0001760963-25-000003	Other Technology			$5,000,001 - $25,000,000		06b	false		2025-05-15		false	true									false		0		25000000	17499949	7500051		false		8	0		0			0		OFFICERS TO BE REMUNERATED IN THE ORDINARY COURSE OF BUSINESS	false
0001012975-25-000283	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2025-05-16		false					true					false		0		10897436	10897436	0	The Total Offering Amount and the Total Amount Sold above include sponsor commitment.	false		4	0		0			0			false
0001879942-25-000003	Restaurants			Decline to Disclose		06b	false		2025-05-14		false	true									false		100000		15000000	100000	14900000		false		1	0		0			0			false
0001727689-25-000040	Other			No Revenues		06b	false		2025-05-14		true			true	true				true	Loan bonus warrants issued in connection with the issuer's borrowing under a credit facility, with each warrant having an exercise price of C$0.85 and a term expring on 6-30-28 (subject to acceleration under certain conditions)	false		0		2531445	0	2531445	U.S. dollar amounts have been converted from Canadian dollars based on the 0.7161 Bank of Canada daily exchange rate on 5-14-25. Total Remaining to be Sold represents the aggregate exercise price of the issued warrants.	false		1	0		0			0			false
0002067708-25-000002	Residential			Not Applicable		06b	true	0002067708-25-000001	2025-05-15		false	true									false		125000		24350000	6450000	17900000	Amount of offering to be reduced by an affiliate offering	false		9	0		0			0			false
0002044198-25-000001	Oil and Gas			Decline to Disclose		06c	true	0002044198-24-000001	2024-11-06		true	true									false		200000		125000000	28401000	96599000		false		184	4830000	true	0		Up to 5% commissions may be pait to registered brokers.  The Managing General Partner may use finders. Any finder compensation may be paid from the Managing General Partners Partnership Units and shall not dilute Subscribers interest in the Partnership.	0			false
0002007532-25-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0002007532-24-000001	2024-01-01		true	true				true					false		100000		Indefinite	295000000	Indefinite		false		2	0		0			0			false
0001366868-25-000090	Other			Decline to Disclose		06b	false		2025-05-16		false		true	true							false		0		1500000	850000	650000		false		7	0		0			0			false
0002070509-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-04-15		false					true					false		0		Indefinite	2101505	Indefinite		false		25	0		0			0			false
0002058834-25-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2025-05-15		true					true					false		25000		Indefinite	524820000	Indefinite		false		217	0		0			0			false
0002070523-25-000004	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06c, 3C, 3C.1	false		2025-05-21		true					true					false		10000		Indefinite	76902	Indefinite		false		1	0		0			1875			false
